iter	Passed	Remaining
297	1758	1192
298	1767	1188
299	1775	1183
300	1784	1179
301	1792	1175
302	1800	1170
303	1808	1165
304	1816	1161
305	1825	1157
306	1833	1152
307	1842	1148
308	1851	1144
309	1858	1139
310	1868	1135
311	1876	1130
312	1884	1126
313	1893	1121
314	1905	1119
315	1919	1117
316	1928	1113
317	1937	1108
318	1951	1107
319	1962	1103
320	1974	1101
321	1986	1098
322	1999	1095
323	2011	1092
324	2020	1087
325	2029	1083
326	2041	1080
327	2051	1075
328	2062	1071
329	2070	1066
330	2081	1062
331	2090	1057
332	2098	1052
333	2106	1046
334	2114	1041
335	2119	1034
336	2124	1027
337	2129	1020
338	2134	1013
339	2140	1007
340	2144	999
341	2148	992
342	2153	985
343	2157	978
344	2162	971
345	2167	964
346	2173	958
347	2179	951
348	2184	945
349	2189	938
350	2194	931
351	2199	924
352	2204	918
353	2209	911
354	2214	904
355	2219	897
356	2223	890
357	2228	883
358	2233	877
359	2237	870
360	2242	863
361	2246	856
362	2251	849
363	2255	842
364	2260	836
365	2264	829
366	2269	822
367	2273	815
368	2278	808
369	2283	802
370	2288	795
371	2292	788
372	2297	782
373	2302	775
374	2306	768
375	2310	762
376	2315	755
377	2321	749
378	2325	742
379	2329	735
380	2334	729
381	2339	722
382	2343	715
383	2348	709
384	2352	702
385	2357	696
386	2362	689
387	2367	683
388	2371	676
389	2375	670
390	2382	664
391	2387	657
392	2392	651
393	2397	645
394	2402	638
395	2408	632
396	2414	626
397	2420	620
398	2426	614
399	2432	608
400	2437	601
401	2443	595
402	2448	589
403	2454	583
404	2463	577
405	2468	571
406	2474	565
407	2479	559
408	2484	552
409	2490	546
410	2496	540
411	2501	534
412	2506	527
413	2511	521
414	2516	515
415	2521	509
416	2527	503
417	2532	496
418	2537	490
419	2542	484
420	2548	478
421	2553	471
422	2559	465
423	2565	459
424	2570	453
425	2576	447
426	2581	441
427	2586	435
428	2591	428
429	2596	422
430	2602	416
431	2608	410
432	2612	404
433	2617	397
434	2621	391
435	2626	385
436	2631	379
437	2635	373
438	2641	366
439	2646	360
440	2651	354
441	2656	348
442	2660	342
443	2664	336
444	2669	329
445	2673	323
446	2677	317
447	2681	311
448	2687	305
449	2693	299
450	2698	293
451	2703	287
452	2708	281
453	2714	275
454	2719	268
455	2723	262
456	2728	256
457	2732	250
458	2738	244
459	2743	238
460	2748	232
461	2753	226
462	2758	220
463	2762	214
464	2767	208
465	2772	202
466	2776	196
467	2781	190
468	2786	184
469	2791	178
470	2797	172
471	2802	166
472	2807	160
473	2812	154
474	2818	148
475	2825	142
476	2831	136
477	2836	130
478	2842	124
479	2849	118
480	2854	112
481	2860	106
482	2865	100
483	2870	94
484	2875	88
485	2881	82
486	2886	77
487	2891	71
488	2898	65
489	2902	59
490	2908	53
491	2913	47
492	2918	41
493	2923	35
494	2931	29
495	2936	23
496	2945	17
497	2950	11
498	2955	5
499	2960	0
