iter	Logloss
0	0.5021596222
1	0.3966434435
2	0.3225972986
3	0.2775945833
4	0.2512064305
5	0.2272242529
6	0.2051892881
7	0.1937197351
8	0.1824439802
9	0.1742705625
10	0.1659573639
11	0.1610702011
12	0.1553783158
13	0.1528962752
14	0.147919049
15	0.1446856498
16	0.1423003471
17	0.1391750076
18	0.1362994913
19	0.134168176
20	0.1330920544
21	0.1299107126
22	0.1288869968
23	0.1276418389
24	0.1268437982
25	0.1252605172
26	0.1238096558
27	0.1223355958
28	0.1207436948
29	0.119321936
30	0.1172609466
31	0.116183139
32	0.1140187558
33	0.1129660779
34	0.1122433342
35	0.1119224223
36	0.1101811673
37	0.1088193751
38	0.1072466761
39	0.1064751975
40	0.1062528594
41	0.1054898679
42	0.1048198451
43	0.1033819126
44	0.1024897061
45	0.1010169842
46	0.1002566321
47	0.09984236741
48	0.09967016483
49	0.09954059183
50	0.09816220942
51	0.09665947578
52	0.09469255688
53	0.09393289134
54	0.09382283141
55	0.09201881197
56	0.09052167522
57	0.08848311527
58	0.08834042487
59	0.0861666869
60	0.08604084307
61	0.08510920358
62	0.0850108925
63	0.08437377495
64	0.08323634498
65	0.08278096657
66	0.08230478887
67	0.08071251938
68	0.08053761571
69	0.08016321311
70	0.07867507524
71	0.07768353297
72	0.0763877463
73	0.0763073182
74	0.07606746577
75	0.07539153915
76	0.07434923224
77	0.0729778772
78	0.07292580527
79	0.07206056716
80	0.0719353209
81	0.07153050033
82	0.07136745975
83	0.06993324578
84	0.06914452311
85	0.06840468806
86	0.06788459994
87	0.06652781017
88	0.06573207543
89	0.06531884375
90	0.06502387629
91	0.06498821283
92	0.06462311235
93	0.06459316739
94	0.06442166689
95	0.06338951339
96	0.06314077034
97	0.06155190394
98	0.06001994193
99	0.05971481388
100	0.05968728307
101	0.05846779004
102	0.05751855386
103	0.0568076511
104	0.0564479223
105	0.05522784698
106	0.0552007219
107	0.05517347031
108	0.05435383922
109	0.05412219425
110	0.0538953436
111	0.05367111946
112	0.05293322147
113	0.05274582414
114	0.05272500448
115	0.05168895021
116	0.05101497045
117	0.05038182776
118	0.0503588696
119	0.05033568044
120	0.05029621198
121	0.05016181276
122	0.04999638055
123	0.04976659734
124	0.04924951641
125	0.04868108481
126	0.04830703581
127	0.04812773632
128	0.04736338999
129	0.04681256783
130	0.04679494922
131	0.04648881493
132	0.04638489629
133	0.0456887968
134	0.04539581078
135	0.04504355664
136	0.04485037988
137	0.04482336233
138	0.04434061483
139	0.04421160164
140	0.04399044887
141	0.04316227292
142	0.04314804477
143	0.04231558395
144	0.04228487747
